Компания;Страна;Город;Тип;Релевантность;Сайт;Email;Телефон;Дов.
Hanwha Power (Power Systems Mfg. / PSM);США;Jupiter, FL;завод + инжиниринг, камера сгорания / лопатки / покрытия;"Проектирует и производит аftermarket-компоненты горячей части для GE 7EA, 7FA, 9E, 9FA/9F, 6B, 6FA и Siemens/MHI 501F: жаровые трубы, transition piece, форсунки, крышки камер сгорания, crossfire tubes, сопловые аппараты 1-3 ступеней и рабочие лопатки, шрауды; ретрофиты FlameSheet и GTOP.";https://www.psm.com/;не найдено;+1 561 354 1100;high
Thomassen Energy (Hanwha Power);Нидерланды;Rheden;независимый сервис MRO + завод, камера сгорания / лопатки;"Полный портфель капитальных деталей горячей части для GE Frame 9E, 9FA, 6B, 6FA, Frame 5: сопловые аппараты 1-3 ст., рабочие лопатки, жаровые трубы, transition piece, топливные форсунки; ретрофиты камеры сгорания HyFlex LEC-III (в т.ч. водородные).";https://thomassen.energy/;info@thomassen.psm.com;+31 26 497 5800;high
Hanwha Power Turbine Group Middle East (PTG);ОАЭ;Абу-Даби;независимый сервис MRO, ремонт деталей горячей части;"Региональный ремонтный цех PSM/Hanwha по компонентам горячей части GE Frame 9E, 9FA, 7EA, 7FA и Siemens F-class: жаровые трубы, transition piece, сопловые аппараты, лопатки; обслуживает Ближний Восток и Северную Африку.";https://www.psm.com/;sales@ptg.psm.com;+971 2 411 6700;high
EthosEnergy (Western Hemisphere);США;Хьюстон, TX;независимый сервис MRO, лопатки / камера сгорания / покрытия;"Крупнейший независимый провайдер по тяжёлым ГТУ: инспекции, капремонт и поставка ЗИП для GE Frame 6B, 7EA, 9E, 9FA, Siemens V94.2/SGT5-2000E, Westinghouse; ковши 1-3 ст., сопловые аппараты, шрауды, transition piece, лайнеры, форсунки.";https://ethosenergy.com/;не найдено;+1 713 849 8800;med
EthosEnergy (Eastern Hemisphere);Великобритания;Абердин;независимый сервис MRO, лопатки / камера сгорания;"Площадки в Турине (9E/9FA), Оберхаузене (V94.2/V94.3) и ОАЭ; ремонт и реверс-инжиниринг деталей горячей части GE Frame 9E/9FA, Siemens V94.2/V94.3, SGT5-4000F, Alstom GT13E2.";https://ethosenergy.com/;не найдено;+44 1224 367200;med
Sulzer Turbo Services Venlo B.V.;Нидерланды;Lomm (Venlo);независимый сервис MRO + производство, лопатки / покрытия / камера сгорания;"Изготовление и ремонт эквивалентных OEM лопаток и сопловых аппаратов для GE MS6001FA, MS7001FA, MS9001E (9E), Siemens V84.2/V94.2 (SGT5-2000E), V64.3A, Ansaldo AE64.3A, Alstom GT13E2 MXL; жаровые трубы, hot-gas casings, TBC/MCrAlY и диффузионные покрытия, абрадабл.";https://www.sulzer.com/;sulzertsvenlo@sulzer.com;+31 77 473 86 66;high
Mechanical Dynamics & Analysis (MD&A);США;Latham, NY;независимый сервис MRO + завод ЗИП, лопатки / камера сгорания;"OEM-альтернатива по тяжёлым рамам: ремонт и изготовление компонентов камеры сгорания и горячего тракта для GE Frame 7EA, 6FA, 7FA, 9FA, 9E и Siemens V84/V94 (V94.2); сопловые аппараты, ковши, жаровые трубы, transition piece, уплотнения, packing rings.";https://www.mdaturbines.com/;info@mdaturbines.com;+1 518 399 3616;high
Chromalloy;США;Palm Beach Gardens, FL;покрытия + ремонт лопаток, покрытия / лопатки;Ведущий независимый поставщик покрытий и ремонтов деталей горячей секции для промышленных ГТУ: диффузионные алюминидные и платино-алюминидные покрытия, MCrAlY overlay, керамические TBC (APS и EB-PVD) для лопаток, сопловых аппаратов и жаровых труб.;https://www.chromalloy.com/;не найдено;+1 561 935 3571;med
Allied Power Group;США;Хьюстон, TX;независимый сервис MRO, лопатки / камера сгорания / покрытия;Полнообъёмный MRO для Siemens V84.2/V94.2, V94.3, GE Frame 9E, 9F/9FA, 7FA: восстановление горячего тракта, ремонт роторов, сварочная наплавка, нанесение покрытий на лопатки, ремонт камер сгорания и форсунок.;https://alliedpg.com/;sales@alliedpg.com;+1 281 444 3535;high
Liburdi Turbine Services;Канада;Dundas, Ontario;независимый сервис MRO, лопатки / покрытия / камера сгорания;"Ремонт и омоложение (FSR, LPM пайка) лопаток, сопловых аппаратов и жаровых труб для ГТУ GE, Siemens, Mitsubishi, Alstom; защитные покрытия горячей секции, прецизионная сварка суперсплавов.";https://www.liburditurbineservices.com/;не найдено;+1 905 689 0734;med
Advanced Turbine Support;США;Gainesville, FL;независимый сервис (инспекции), камера сгорания / лопатки;Не-OEM провайдер бороскопических и вихретоковых инспекций горячего тракта ГТУ GE, Westinghouse и ABB тяжёлых рам (7EA, 7FA, 9E, 9FA, V84/V94): инспекция камеры сгорания, transition piece, сопловых аппаратов и лопаток.;https://advancedturbinesupport.com/;contact@advancedturbinesupport.com;+1 352 332 4061;high
Lincotek Surface Solutions (Turbocoating S.p.A.);Италия;Rubbiano di Solignano (Parma);покрытия, покрытия / лопатки / материалы;"Линия покрытий для лопаток и сопловых аппаратов тяжёлых ГТУ: MCrAlY методом VPS/LPPS/HVOF, керамические YSZ TBC методом APS, диффузионные алюминидные покрытия; детали горячего тракта F- и E-класса (7FA/9FA, V94.3, GT26).";https://www.lincotek.com/;sales.surfacesolutions.EMEA@lincotek.com;не найдено;high
Doncasters Precision Castings;Великобритания;Deritend / Derby;литейка, лопатки / материалы;"Точное литьё лопаток и сопловых сегментов из никелевых и кобальтовых суперсплавов для промышленных ГТУ: equiaxed, направленная кристаллизация и монокристалл; лопатки до 860 мм — типоразмер деталей 9E/9FA/V94.3/GT13E2.";https://www.doncasters.com/;не найдено;+44 115 663 0139;med
ProEnergy;США;Sedalia, MO;независимый сервис MRO + трейдер, горячая секция / камера сгорания;"Независимое депо и склад ЗИП: горячие секции, топливные форсунки, расходные комплекты; сильная позиция по GE Frame 7EA и авиапроизводным LM2500/LM6000.";https://www.proenergyservices.com/;не найдено;+1 660 829 5100;med
Doosan Turbomachinery Services (DTS);США;La Porte, TX;независимый сервис MRO, лопатки / покрытия;Сервисное подразделение Doosan в США: ремонт компонентов газовых турбин, капремонт роторов, термическое и воздушно-плазменное нанесение покрытий на детали горячего тракта тяжёлых ГТУ (GE 7EA/7FA, Siemens/Westinghouse 501F).;https://www.doosanturbo.com/;не найдено;+1 713 364 7500;med
Doosan Enerbility;Республика Корея;Чханвон;завод + литейка + покрытия, лопатки / камера сгорания;"Локально освоил горячие детали для ГТУ 7F-класса: камеры сгорания, ротор, лопатки и сопловые аппараты; собственный hot parts shop и стенд full-speed full-load.";https://www.doosanenerbility.com/;не найдено;не найдено;med
Gas Turbine Parts & Services, Inc. (GTPS);США;не найдено;трейдер ЗИП, камера сгорания / лопатки;Поставщик OEM и не-OEM запчастей для GE MS5001, MS5002, MS6001, MS7001 и MS9001 (Frame 9E) — детали камеры сгорания и горячего тракта.;https://www.gtps-inc.com/;sales@gtps-inc.com;не найдено;low
Consolidated Turbine Services (CTS);ОАЭ;Дубай;трейдер + независимый сервис, камера сгорания / лопатки;"С 1986 г. поставка и ремонт деталей горячей и холодной секции для GE Frame 5, 6 и 9 (9E): сопловые аппараты, transition piece, жаровые трубы, лопатки; склады и мастерские в Дубае, покрытие GCC.";https://www.ctscompany.com/;dubai@ctscompany.com;+971 4 347 2211;high
Consolidated Turbine Services (CTS) Abu Dhabi;ОАЭ;Абу-Даби;трейдер + независимый сервис, камера сгорания / лопатки;Офис CTS в Абу-Даби: поставка и восстановление деталей горячего тракта GE Frame 5/6B/9E — сопловые аппараты, ковши, жаровые трубы, transition piece.;https://www.ctscompany.com/;abudhabi@ctscompany.com;+971 2 676 7446;high
