Сегмент;Приор;Компания;Страна;Что делает;Сайт;Email;Телефон;Статус;Дата;Ответ/КП
СЕГМЕНТ 1 — Камеры сгорания и DLE-горелки (ПРЯМАЯ ЦЕЛЬ: MW21215M + MW22316B/01);★ ТАМОЖНЯ;Heinzmann UK Limited;Великобритания;Системы зажигания и свечи розжига камеры сгорания — 1 отгрузка;heinzmann-re.com;sales@heinzmann-re.com;+44 1206 799556;;;
СЕГМЕНТ 1 — Камеры сгорания и DLE-горелки (ПРЯМАЯ ЦЕЛЬ: MW21215M + MW22316B/01);★ ТАМОЖНЯ;Turbine Engineering Services Ltd;Великобритания (Першор);Детали ГТУ, 5 отгрузок, происхождение UK/Нидерланды/Швейцария. Малая фирма 2-10 чел., сайт не отвечает;turbineengineeringservices.co.uk (не отвечает);не найдено;01386 555630 (справочники, не подтверждён);;;
СЕГМЕНТ 1 — Камеры сгорания и DLE-горелки (ПРЯМАЯ ЦЕЛЬ: MW21215M + MW22316B/01);★ ТАМОЖНЯ;Liburdi Turbine Services;Канада (Dundas);Сегменты сопловых аппаратов и лопатки, HS 8411999900, авиа Мехико в обе стороны — маршрут ремонта горячей части;liburdi.com;info@liburdi.com;+1 905 689 0734;;;
СЕГМЕНТ 1 — Камеры сгорания и DLE-горелки (ПРЯМАЯ ЦЕЛЬ: MW21215M + MW22316B/01);★ ТАМОЖНЯ;WBS Trading & Manufacturing;Сингапур (отгрузка из КНР);КУПОЛ КАМЕРЫ СГОРАНИЯ (cupula), кольца дисков 1/2 ступени, уплотнительные пластины — 5 отгрузок;wbs.com.sg;sales@wbs.com.sg;+65 6863 1978;;;
СЕГМЕНТ 1 — Камеры сгорания и DLE-горелки (ПРЯМАЯ ЦЕЛЬ: MW21215M + MW22316B/01);★ ЛИД;ITS — Industrial Turbine Services GmbH;Австрия (Лаакирхен);Сканеры и датчики пламени ГТУ, детали ГТУ, АСУ (TMOS, FLAME SCANNER). Связь с TFS не подтверждена;turbineservices.at;contact@turbineservices.de;+49 201 43728-0;;;
СЕГМЕНТ 1 — Камеры сгорания и DLE-горелки (ПРЯМАЯ ЦЕЛЬ: MW21215M + MW22316B/01);★ ЛИД;Gas Turbine Services A/S;Дания (Эсбьерг) + Линкольн UK;Крупнейший независимый сервис по линейке Siemens (Lincoln) SGT / Ruston. Дания — одно из 3 направлений экспорта TFS;gasturbineservices.com;gts@gasturbineservices.com;+45 7546 8030 / +44 1522 842700;;;
СЕГМЕНТ 1 — Камеры сгорания и DLE-горелки (ПРЯМАЯ ЦЕЛЬ: MW21215M + MW22316B/01);★ TFS;DURAG Group / HEGWEIN;Германия;Запальники и системы розжига камер сгорания ГТУ (HEGWEIN M22D), патент ignition generator;durag.com;info@durag.com;+49 40 554218-0;;;
СЕГМЕНТ 1 — Камеры сгорания и DLE-горелки (ПРЯМАЯ ЦЕЛЬ: MW21215M + MW22316B/01);★ TFS;Sonkit (Shanghai);Китай;Металлические уплотнения (C-ring) камеры сгорания / горячей части;sonkit.com;sales@sonkit.com;+86 21 5439 9299;;;
СЕГМЕНТ 1 — Камеры сгорания и DLE-горелки (ПРЯМАЯ ЦЕЛЬ: MW21215M + MW22316B/01);★;Powertherm Engineering Pvt. Ltd.;Индия;В каталоге прямо позиционируется как изготовитель ГОРЯЧИХ ДЕТАЛЕЙ ГТУ: transition pieces («gas conveyors»), камеры сгорания / cap liner, СОП;"не найдено (собственного домена не подтверждено; листинги на tradeindia.com и exportersindia.com)";;;;;
СЕГМЕНТ 1 — Камеры сгорания и DLE-горелки (ПРЯМАЯ ЦЕЛЬ: MW21215M + MW22316B/01);★;ADS Innotech Pvt. Ltd.;Индия;Профильный изготовитель деталей камеры сгорания: на сайте отдельный продукт «Gas Turbine Combustion Liner Spares» — детали жаровых труб, ску;https://www.adsinnotech.com;"не найдено (на сайте только форма обратной связи; корпоративный домен @adsinnotech.com подтверждён по профилям сотрудников)";;;;
СЕГМЕНТ 1 — Камеры сгорания и DLE-горелки (ПРЯМАЯ ЦЕЛЬ: MW21215M + MW22316B/01);★;PT. Nuscaco Hasteloy Turbine Services (NHTS);Индонезия;Полный ремонт/восстановление деталей горячего тракта: Combustion Liner, Transition Piece, Blade, Nozzle, Shroud, Segments, IGV, Diaphragm. О;https://nhts.co.id/;info@nhts.co.id;+62 21 4600338, +62 21 4682 3201;;;
СЕГМЕНТ 1 — Камеры сгорания и DLE-горелки (ПРЯМАЯ ЦЕЛЬ: MW21215M + MW22316B/01);★;哈尔滨广瀚燃气轮机有限公司 (Harbin Guanghan Gas Turbine Co., Ltd., при 703-м институте CSSC);Китай;Завод-изготовитель промышленных ГТУ диапазона 3–50 МВт — SGT-400 (12,9 МВт) попадает ровно в середину линейки, значит габариты, материалы и ;http://www.ghturbine.com/;;;;;
СЕГМЕНТ 1 — Камеры сгорания и DLE-горелки (ПРЯМАЯ ЦЕЛЬ: MW21215M + MW22316B/01);★;无锡华天航空动力有限公司 (Wuxi Huatian Aviation Power Co., Ltd.) + дочка 无锡华天燃气轮机有限公司;Китай;"Разработчик и изготовитель авиадвигателей, ГАЗОВЫХ ТУРБИН и компрессоров с собственной интеллектуальной собственностью; под ГТУ выделена отд";http://www.ihuatian.com/;hyturbines@ihuatian.com;400-823-6768;;;
СЕГМЕНТ 1 — Камеры сгорания и DLE-горелки (ПРЯМАЯ ЦЕЛЬ: MW21215M + MW22316B/01);★;无锡明阳氢燃动力科技有限公司 (Wuxi Mingyang Hydrogen Combustion Power Technology Co., Ltd.), дочка 明阳智能 / Mingyang Smart Energy (SSE 601615);Китай;Единственный найденный игрок в КНР с ПОЛНОСТЬЮ СОБСТВЕННОЙ разработкой и испытательной базой именно КАМЕРЫ СГОРАНИЯ промышленной ГТУ. Создал;"не найдено (собственный сайт не обнаружен; группа — mingyanggroup.com.cn, myse.com.cn)";;не найдено (на сайте группы указан общий телефон материнской компании в Чжуншане);;;
